　,PU,*,*,　
森,NR,PER,FAM,森
森基斯特,NR,LOC,*,森基斯特
森茂,NR,PER,GIV,森茂
森潘,NR,PER,GIV,森潘
沙德利,NR,PER,FOR,沙德利
沙立·冯坎超,NR,PER,FOR,沙立·冯坎超
沙米尔,NR,PER,FOR,沙米尔
沙穆亚里,NR,PER,FOR,沙穆亚里
沙穆亚里拉,NR,PER,FOR,沙穆亚里拉
沙万,NR,PER,GIV,沙万
沙雅,NR,LOC,*,沙雅
沙耶布扎德,NR,PER,FOR,沙耶布扎德
沙峁村,NR,LOC,*,沙峁村
纱疵,NN,*,*,纱疵
晒谷场,NN,*,*,晒谷场
山,NR,PER,GIV,山
山货,NN,*,*,山货
山曲,NN,*,*,山曲
山瑞鳖,NN,*,*,山瑞鳖
山芋,NN,*,*,山芋
山月,NR,PER,GIV,山月
山旮旯,NN,*,*,山旮旯
衫裤,NN,*,*,衫裤
善模,NR,PER,GIV,善模
善卿,NR,PER,GIV,善卿
善清,NR,PER,GIV,善清
善秋,NR,PER,GIV,善秋
善荣,NR,PER,GIV,善荣
善棠,NR,PER,GIV,善棠
善昭,NR,PER,GIV,善昭
扇贝,NN,*,*,扇贝
伤疤,NN,*,*,伤疤
商河县,NR,LOC,*,商河县
商丘,NR,LOC,*,商丘
商丘县,NR,LOC,*,商丘县
上阳,NR,PER,GIV,上阳
尚昆,NR,PER,GIV,尚昆
尚立,NR,PER,GIV,尚立
韶光,NR,PER,GIV,韶光
少春,NR,PER,GIV,少春
少丹,NR,PER,GIV,少丹
少方,NR,PER,GIV,少方
少敏,NR,PER,GIV,少敏
少山,NR,PER,GIV,少山
邵武市,NR,LOC,*,邵武市
绍达尔加斯,NR,PER,FOR,绍达尔加斯
绍芬,NR,PER,GIV,绍芬
绍鸿,NR,PER,GIV,绍鸿
绍金,NR,PER,GIV,绍金
绍孔,NR,PER,GIV,绍孔
绍良,NR,PER,GIV,绍良
绍英,NR,PER,GIV,绍英
绍祖,NR,PER,GIV,绍祖
绍瑜,NR,PER,GIV,绍瑜
绍铮,NR,PER,GIV,绍铮
舍韦内芒,NR,PER,FOR,舍韦内芒
神采奕奕,VV,*,*,神采奕奕
神也,NR,PER,GIV,神也
沈潼,NR,PER,GIV,沈潼
慎言,NR,PER,GIV,慎言
慎宗,NR,PER,GIV,慎宗
声,NR,PER,GIV,声
声汉,NR,PER,GIV,声汉
声兰,NR,PER,GIV,声兰
声雄,NR,PER,GIV,声雄
声作,NR,PER,GIV,声作
生良,NR,PER,GIV,生良
生蒲,NR,PER,GIV,生蒲
生荣,NR,PER,GIV,生荣
升,NR,PER,GIV,升
绳,NR,PER,GIV,绳
省身,NR,PER,GIV,省身
省宗巴音市,NR,LOC,*,省宗巴音市
盛传,VV,*,*,盛传
盛誉,NN,*,*,盛誉
胜浩,NR,PER,GIV,胜浩
胜连町港,NR,LOC,*,胜连町港
胜强,NR,PER,GIV,胜强
胜文,NR,PER,GIV,胜文
胜霞,NR,PER,GIV,胜霞
胜友,NR,PER,GIV,胜友
圣克鲁斯,NR,LOC,*,圣克鲁斯
圣米格尔,NR,LOC,*,圣米格尔
圣子,NR,PER,GIV,圣子
师库兹涅佐夫号,NR,OTH,*,师库兹涅佐夫号
师明,NR,PER,GIV,师明
师统,NR,PER,GIV,师统
师曾,NR,PER,GIV,师曾
师瑜,NR,PER,GIV,师瑜
施暴,VV,*,*,施暴
施莱辛格,NR,PER,FOR,施莱辛格
施赖弗,NR,PER,FOR,施赖弗
施密特,NR,PER,FOR,施密特
施帕姆帕蒂,NR,PER,FOR,施帕姆帕蒂
施索夫,NR,PER,FOR,施索夫
施托尔滕贝格,NR,PER,FOR,施托尔滕贝格
施瓦茨科普夫,NR,PER,FOR,施瓦茨科普夫
施药,VV,*,*,施药
施用,VV,*,*,施用
施釉,VV,*,*,施釉
施治,VV,*,*,施治
诗晴,NR,PER,GIV,诗晴
诗书,NR,PER,GIV,诗书
十发,NR,PER,GIV,十发
石碴,NN,*,*,石碴
石榴号,NR,OTH,*,石榴号
石片,NN,*,*,石片
石人,NN,*,*,石人
石人沟村,NR,LOC,*,石人沟村
石炭井,NR,LOC,*,石炭井
石元,NR,PER,GIV,石元
石圳村,NR,LOC,*,石圳村
石狩町,NR,LOC,*,石狩町
时炎,NR,PER,GIV,时炎
什卡拉,NR,ORG,*,什卡拉
什梅廖夫,NR,PER,FOR,什梅廖夫
史·巴蒂斯泰利,NR,PER,FOR,史·巴蒂斯泰利
史蒂夫·麦格拉思,NR,PER,FOR,史蒂夫·麦格拉思
史蒂文斯,NR,PER,FOR,史蒂文斯
士高,NR,PER,GIV,士高
士华,NR,PER,GIV,士华
士军,NR,PER,GIV,士军
士权,NR,PER,GIV,士权
士深,NR,PER,GIV,士深
士伟,NR,PER,GIV,士伟
士英,NR,PER,GIV,士英
士骧,NR,PER,GIV,士骧
世,NR,PER,GIV,世
世法,NR,PER,GIV,世法
世刚,NR,PER,GIV,世刚
世光,NR,PER,GIV,世光
世济,NR,PER,GIV,世济
世俊,NR,PER,GIV,世俊
世宽,NR,PER,GIV,世宽
世良,NR,PER,GIV,世良
世林,NR,PER,GIV,世林
世敏,NR,PER,GIV,世敏
世清,NR,PER,GIV,世清
世森,NR,PER,GIV,世森
世硕,NR,PER,GIV,世硕
世涛,NR,PER,GIV,世涛
世贤,NR,PER,GIV,世贤
世新,NR,PER,GIV,世新
世尧,NR,PER,GIV,世尧
世英,NR,PER,GIV,世英
世缘,NR,PER,GIV,世缘
世镛,NR,PER,GIV,世镛
是,VV,*,*,是
仕强,NR,PER,GIV,仕强
收监,VV,*,*,收监
首道,NR,PER,GIV,首道
守几,NR,PER,GIV,守几
守军,NR,PER,GIV,守军
守勤,NR,PER,GIV,守勤
守仪,NR,PER,GIV,守仪
寿斌,NR,PER,GIV,寿斌
寿昌,NR,PER,GIV,寿昌
寿成,NR,PER,GIV,寿成
寿椿,NR,PER,GIV,寿椿
寿平,NR,PER,GIV,寿平
寿亭,NR,PER,GIV,寿亭
授粉,VV,*,*,授粉
瘦石,NR,PER,GIV,瘦石
叔,NN,*,*,叔
叔平,NR,PER,GIV,叔平
叔同,NR,PER,GIV,叔同
舒斌,NR,PER,GIV,舒斌
舒克拉,NR,PER,FOR,舒克拉
舒纶,NN,*,*,舒纶
舒坦,VA,*,*,舒坦
淑维,NR,PER,GIV,淑维
淑伟,NR,PER,GIV,淑伟
淑艳,NR,PER,GIV,淑艳
淑贞,NR,PER,GIV,淑贞
淑媛,NR,PER,GIV,淑媛
淑筠,NR,PER,GIV,淑筠
书道,NR,PER,GIV,书道
书军,NR,PER,GIV,书军
书庆,NR,PER,GIV,书庆
书霞,NR,PER,GIV,书霞
书札,NN,*,*,书札
书战,NR,PER,GIV,书战
曙光,NR,PER,GIV,曙光
述滨,NR,PER,GIV,述滨
述亮,NR,PER,GIV,述亮
树广,NR,PER,GIV,树广
树恒,NR,PER,GIV,树恒
树杰,NR,PER,GIV,树杰
树梁,NR,PER,GIV,树梁
树林,NR,PER,GIV,树林
树培,NR,PER,GIV,树培
树青,NR,PER,GIV,树青
树仁,NR,PER,GIV,树仁
树人,NR,PER,GIV,树人
树声,NR,PER,GIV,树声
树玉,NR,PER,GIV,树玉
树增,NR,PER,GIV,树增
树壮,NR,PER,GIV,树壮
恕,NR,PER,GIV,恕
双,NR,PER,FOR,双
双,NR,PER,GIV,双
双黄连,NN,*,*,双黄连
双良,NR,PER,GIV,双良
水清,NR,PER,GIV,水清
税务局,NR,ORG,*,税务局
顺柏,NR,PER,GIV,顺柏
顺福,NR,PER,GIV,顺福
顺开,NR,PER,GIV,顺开
顺乐,NR,PER,GIV,顺乐
顺心,NR,PER,GIV,顺心
顺学,NR,PER,GIV,顺学
顺元,NR,PER,GIV,顺元
舜礼,NR,PER,GIV,舜礼
说传,NR,PER,GIV,说传
朔方,NR,PER,GIV,朔方
斯卑·巴第诺,NR,ORG,*,斯卑·巴第诺
斯定,NR,PER,GIV,斯定
斯凯尔顿,NR,PER,FOR,斯凯尔顿
斯堪的纳维亚,NR,LOC,*,斯堪的纳维亚
斯考克罗夫特,NR,PER,FOR,斯考克罗夫特
斯科特·戴维斯,NR,PER,FOR,斯科特·戴维斯
斯库比谢夫斯基,NR,PER,FOR,斯库比谢夫斯基
斯拉杰尔,NR,PER,FOR,斯拉杰尔
斯拉姆,NR,OTH,*,斯拉姆
斯塔克波尔,NR,PER,FOR,斯塔克波尔
斯坦加辛格尔,NR,PER,FOR,斯坦加辛格尔
斯坦利·斯拉杰尔,NR,PER,FOR,斯坦利·斯拉杰尔
斯特尔马赫,NR,PER,FOR,斯特尔马赫
斯特凡,NR,PER,FOR,斯特凡
斯特罗斯纳,NR,PER,FOR,斯特罗斯纳
斯托莱努,NR,PER,FOR,斯托莱努
斯威夫特,NR,ORG,*,斯威夫特
斯维尔德洛夫斯克,NR,LOC,*,斯维尔德洛夫斯克
斯维尔伦加,NR,PER,FOR,斯维尔伦加
思聪,NR,PER,GIV,思聪
思扬,NR,PER,GIV,思扬
思毅,NR,PER,GIV,思毅
思渊,NR,PER,GIV,思渊
司芬克斯,NR,OTH,*,司芬克斯
似钦,NR,PER,GIV,似钦
巳一郎,NR,PER,GIV,巳一郎
松柏,NR,PER,GIV,松柏
松灿,NR,PER,GIV,松灿
松发,NR,PER,GIV,松发
松遐,NR,PER,GIV,松遐
颂·乍伦西尔,NR,PER,FOR,颂·乍伦西尔
宋词,NN,*,*,宋词
宋大,NR,PER,GIV,宋大
苏博德·坎特·萨海,NR,PER,FOR,苏博德·坎特·萨海
苏丹·伊本·阿卜杜勒·阿齐兹,NR,PER,FOR,苏丹·伊本·阿卜杜勒·阿齐兹
苏迪曼,NR,OTH,*,苏迪曼
苏尔拉斯,NR,PER,FOR,苏尔拉斯
苏方,NN,*,*,苏方
苏库尔县,NR,LOC,*,苏库尔县
苏莱曼·哈利法,NR,PER,FOR,苏莱曼·哈利法
苏里,NR,PER,GIV,苏里
苏木达,NR,PER,FOR,苏木达
苏努努,NR,PER,FOR,苏努努
苏普里扬托,NR,PER,FOR,苏普里扬托
苏奇托托,NR,LOC,*,苏奇托托
苏权,NR,PER,GIV,苏权
苏亚雷斯,NR,PER,FOR,苏亚雷斯
素,NN,*,*,素
素我,NR,PER,GIV,素我
素英,NR,PER,GIV,素英
素绉缎,NN,*,*,素绉缎
宿堂,NR,PER,GIV,宿堂
随成,NR,PER,GIV,随成
绥文,NR,PER,GIV,绥文
遂旺,NR,PER,GIV,遂旺
索尔兹伯里,NR,PER,FOR,索尔兹伯里
索贿,VV,*,*,索贿
索拉兹,NR,PER,FOR,索拉兹
索利斯,NR,PER,FOR,索利斯
索洛维约夫,NR,PER,FOR,索洛维约夫
索西,NR,LOC,*,索西
塔,NR,PER,GIV,塔
塔·达尔尼,NR,PER,FOR,塔·达尔尼
塔·达尔尼伊,NR,PER,FOR,塔·达尔尼伊
塔尔寺,NR,LOC,*,塔尔寺
塔夫拉达,NR,PER,FOR,塔夫拉达
塔哈尔·萨利姆·迪巴赫,NR,PER,FOR,塔哈尔·萨利姆·迪巴赫
塔科马市,NR,LOC,*,塔科马市
塔克里特,NR,LOC,*,塔克里特
塔拉帕·蒂博尔,NR,PER,FOR,塔拉帕·蒂博尔
塔拉泽维奇,NR,PER,FOR,塔拉泽维奇
塔特怀勒,NR,PER,FOR,塔特怀勒
塔希尔·马斯里,NR,PER,FOR,塔希尔·马斯里
塔伊夫,NR,LOC,*,塔伊夫
台儿庄,NR,LOC,*,台儿庄
泰芳,NR,PER,GIV,泰芳
泰愚,NR,PER,GIV,泰愚
太平惠民和剂局,NR,ORG,*,太平惠民和剂局
太炎,NR,PER,GIV,太炎
潭,NR,PER,GIV,潭
谈林,NR,PER,GIV,谈林
谈心,VV,*,*,谈心
汤·贾格尔,NR,PER,FOR,汤·贾格尔
汤·威尔纳,NR,PER,FOR,汤·威尔纳
汤包,NN,*,*,汤包
汤姆·金,NR,PER,FOR,汤姆·金
汤姆·凯利,NR,PER,FOR,汤姆·凯利
汤姆斯,NR,OTH,*,汤姆斯
唐·克尔,NR,PER,FOR,唐·克尔
唐钢,NR,ORG,*,唐钢
唐明皇,NR,PER,OTH,唐明皇
唐诗,NN,*,*,唐诗
唐斯克嘎查,NR,LOC,*,唐斯克嘎查
陶冶,NN,*,*,陶冶
特拉奥雷,NR,PER,FOR,特拉奥雷
特鲁洛,NR,PER,FOR,特鲁洛
特斯法耶,NR,PER,FOR,特斯法耶
特斯法耶·丁卡,NR,PER,FOR,特斯法耶·丁卡
藤,NR,PER,GIV,藤
藤森,NR,PER,FAM,藤森
腾,NR,PER,GIV,腾
梯,NN,*,*,梯
梯云,NR,PER,GIV,梯云
提尔市,NR,LOC,*,提尔市
提克里蒂,NR,PER,FOR,提克里蒂
提克里蒂县,NR,LOC,*,提克里蒂县
天,NR,PER,GIV,天
天白,NR,PER,GIV,天白
天德,NR,PER,GIV,天德
天虹,NR,PER,GIV,天虹
天红,NR,PER,GIV,天红
天觉,NR,PER,GIV,天觉
天钧,NR,PER,GIV,天钧
天日,NR,PER,GIV,天日
天顺,NR,PER,GIV,天顺
天泽,NR,PER,GIV,天泽
天玷,NR,PER,GIV,天玷
添,NR,PER,GIV,添
添发,NR,PER,GIV,添发
田庄,NR,LOC,*,田庄
铁厂,NN,*,*,铁厂
铁华,NR,PER,GIV,铁华
铁军,NR,PER,GIV,铁军
铁梅,NR,PER,GIV,铁梅
铁山,NR,PER,GIV,铁山
廷芬,NR,PER,GIV,廷芬
廷海,NR,PER,GIV,廷海
廷龙,NR,PER,GIV,廷龙
廷琴,NR,PER,GIV,廷琴
廷伟,NR,PER,GIV,廷伟
挺,NR,PER,GIV,挺
通·萨博,NR,PER,FOR,通·萨博
通顿马库特,NR,ORG,*,通顿马库特
桐柏,NN,*,*,桐柏
同川,NR,PER,GIV,同川
同贵,NR,PER,GIV,同贵
同善,NR,PER,GIV,同善
同松,NR,PER,GIV,同松
同贤,NR,PER,GIV,同贤
彤威,NR,PER,GIV,彤威
童真,JJ,*,*,童真
图,NR,PER,GIV,图
图马斯·霍格斯泰德特,NR,PER,FOR,图马斯·霍格斯泰德特
图斯特拉——古铁雷斯,NR,LOC,*,图斯特拉——古铁雷斯
图斯特拉—古铁雷斯,NR,LOC,*,图斯特拉—古铁雷斯
推前,VV,*,*,推前
托·施坦加辛格尔,NR,PER,FOR,托·施坦加辛格尔
托德曼,NR,PER,FOR,托德曼
托尔萨斯,NR,LOC,*,托尔萨斯
托克逊乌苏通沟,NR,LOC,*,托克逊乌苏通沟
托林沟,NR,LOC,*,托林沟
托马斯·福利,NR,PER,FOR,托马斯·福利
托马斯·古斯塔夫森,NR,PER,FOR,托马斯·古斯塔夫森
托马斯·凯利,NR,PER,FOR,托马斯·凯利
托马斯·凯利中,NR,PER,FOR,托马斯·凯利中
托美郎加,NR,PER,FOR,托美郎加
托尼·本,NR,PER,FOR,托尼·本
拓本,NN,*,*,拓本
瓦·弗卡鲁,NR,PER,FOR,瓦·弗卡鲁
瓦·帕夫洛夫,NR,PER,FOR,瓦·帕夫洛夫
瓦达,NR,PER,GIV,瓦达
瓦尔德海姆,NR,PER,FOR,瓦尔德海姆
瓦尔德纳尔,NR,PER,FOR,瓦尔德纳尔
瓦尔迪兹,NR,OTH,*,瓦尔迪兹
瓦尔尼克,NR,PER,FOR,瓦尔尼克
瓦尔特·莱斯勒·基普,NR,PER,FOR,瓦尔特·莱斯勒·基普
瓦尔维乔蒂斯,NR,PER,FOR,瓦尔维乔蒂斯
瓦赫利伦,NR,PER,FOR,瓦赫利伦
瓦拉塞,NR,LOC,*,瓦拉塞
瓦连京·帕夫洛夫,NR,PER,FOR,瓦连京·帕夫洛夫
瓦连京·谢尔盖维奇·帕夫洛夫,NR,PER,FOR,瓦连京·谢尔盖维奇·帕夫洛夫
瓦妮克,NR,PER,FOR,瓦妮克
瓦文萨,NR,PER,FOR,瓦文萨
瓦西利乌,NR,PER,FOR,瓦西利乌
外伶仃,NN,*,*,外伶仃
婉玲,NR,PER,GIV,婉玲
婉雯,NR,PER,GIV,婉雯
万·差苏,NR,PER,FOR,万·差苏
万春,NR,PER,GIV,万春
万全,NR,PER,GIV,万全
万森市,NR,LOC,*,万森市
万孝,NR,PER,GIV,万孝
万紫千红,VV,*,*,万紫千红
王府,NN,*,*,王府
王窑,NR,LOC,*,王窑
威顿,NR,PER,FOR,威顿
威尔逊·恩多罗·阿亚,NR,PER,FOR,威尔逊·恩多罗·阿亚
威风凛凛,VA,*,*,威风凛凛
威利奥亚,NR,LOC,*,威利奥亚
威廉·贾勒特,NR,PER,FOR,威廉·贾勒特
威廉·麦金莱,NR,PER,FOR,威廉·麦金莱
威廉·塔夫脱,NR,PER,FOR,威廉·塔夫脱
威廉·韦伯斯特,NR,PER,FOR,威廉·韦伯斯特
威廉姆,NR,PER,FOR,威廉姆
威廉斯,NR,PER,FOR,威廉斯
威尼托,NR,LOC,*,威尼托
巍巍,NR,PER,GIV,巍巍
巍峙,NR,PER,GIV,巍峙
韦伯斯特,NR,PER,FOR,韦伯斯特
韦德卡姆普,NR,PER,FOR,韦德卡姆普
韦德拉奥果,NR,PER,FOR,韦德拉奥果
韦德拉奥果·温德帕业德·雷蒙·爱德华,NR,PER,FOR,韦德拉奥果·温德帕业德·雷蒙·爱德华
韦尔纳,NR,PER,FOR,韦尔纳
韦拉亚提,NR,PER,FOR,韦拉亚提
韦利奇科,NR,PER,FOR,韦利奇科
韦塞尔,NR,PER,FOR,韦塞尔
韦斯特波特市,NR,LOC,*,韦斯特波特市
围脖,NN,*,*,围脖
唯业,NR,PER,GIV,唯业
维·阿南德,NR,PER,FOR,维·阿南德
维·查·舒克拉,NR,PER,FOR,维·查·舒克拉
维·普·辛格,NR,PER,FOR,维·普·辛格
维·斯滕库列斯库,NR,PER,FOR,维·斯滕库列斯库
维胺脂,NN,*,*,维胺脂
维本,NR,PER,GIV,维本
维臣,NR,PER,GIV,维臣
维达·查兰·舒克拉,NR,PER,FOR,维达·查兰·舒克拉
维迪亚·查兰·舒克拉,NR,PER,FOR,维迪亚·查兰·舒克拉
维高,NR,PER,GIV,维高
维华,NR,PER,GIV,维华
维佳,NR,PER,GIV,维佳
维平,NR,PER,GIV,维平
维仁,NR,PER,GIV,维仁
维西县,NR,LOC,*,维西县
维纤,NN,*,*,维纤
维行,NR,PER,GIV,维行
维扬,NN,*,*,维扬
维英,NR,PER,GIV,维英
维蕃,NR,PER,GIV,维蕃
维琦,NR,PER,GIV,维琦
伟华,NR,PER,GIV,伟华
伟继,NR,PER,GIV,伟继
伟霞,NR,PER,GIV,伟霞
伟英,NR,PER,GIV,伟英
伟之,NR,PER,GIV,伟之
未,NR,PER,GIV,未
蔚,NR,PER,GIV,蔚
魏茨泽克,NR,PER,FOR,魏茨泽克
魏斯布里阿赫,NR,LOC,*,魏斯布里阿赫
渭清,NR,PER,GIV,渭清
渭贞,NR,PER,GIV,渭贞
卫红,NR,PER,GIV,卫红
卫辉市,NR,LOC,*,卫辉市
卫建,NR,PER,GIV,卫建
卫列,NR,PER,GIV,卫列
卫民,NR,PER,GIV,卫民
温·威廉斯,NR,PER,FOR,温·威廉斯
温贝托·罗梅罗,NR,PER,FOR,温贝托·罗梅罗
温贝托·托莱多,NR,PER,FOR,温贝托·托莱多
温床,NN,*,*,温床
温迪·卢塞罗,NR,PER,FOR,温迪·卢塞罗
温迪·威廉斯,NR,PER,FOR,温迪·威廉斯
温家窑村,NR,LOC,*,温家窑村
温箱,NN,*,*,温箱
文成县,NR,LOC,*,文成县
文峰,NR,PER,GIV,文峰
文甫,NR,PER,GIV,文甫
文歌,NR,PER,GIV,文歌
文革,NR,PER,GIV,文革
文公,NR,PER,GIV,文公
文教,NR,PER,GIV,文教
文杰,NR,PER,GIV,文杰
文驹,NR,PER,GIV,文驹
文君,NR,PER,GIV,文君
文俊,NR,PER,GIV,文俊
文卡塔拉曼,NR,PER,FOR,文卡塔拉曼
文凯,NR,PER,GIV,文凯
文灵,NR,PER,GIV,文灵
文禄,NR,PER,GIV,文禄
文伦,NR,PER,GIV,文伦
文敏,NR,PER,GIV,文敏
文铭,NR,PER,GIV,文铭
文泉,NR,PER,GIV,文泉
文松,NR,PER,GIV,文松
文通,NR,PER,GIV,文通
文喜,NR,PER,GIV,文喜
文秀,NR,PER,GIV,文秀
文宴,NR,PER,GIV,文宴
文宜,NR,PER,GIV,文宜
文意,NR,PER,GIV,文意
文勇,NR,PER,GIV,文勇
文岳,NR,PER,GIV,文岳
文征,NR,PER,GIV,文征
文治,NR,PER,GIV,文治
文琪,NR,PER,GIV,文琪
闻,NR,PER,GIV,闻
翁觉,NR,PER,GIV,翁觉
蜗杆,NN,*,*,蜗杆
沃夫拉,NR,LOC,*,沃夫拉
沃龙佐夫,NR,PER,FOR,沃龙佐夫
沃屯村,NR,LOC,*,沃屯村
沃泽勒,NR,PER,FOR,沃泽勒
沃泽耶,NR,PER,FOR,沃泽耶
乌尔德·阿巴斯,NR,PER,FOR,乌尔德·阿巴斯
乌尔德·艾哈迈德,NR,PER,FOR,乌尔德·艾哈迈德
乌兰矿,NR,ORG,*,乌兰矿
乌兰木伦,NR,LOC,*,乌兰木伦
乌兰木伦,NR,PER,FOR,乌兰木伦
乌兰木伦河,NR,LOC,*,乌兰木伦河
乌兰牧骑,NN,*,*,乌兰牧骑
乌里扬诺夫斯克,NR,LOC,*,乌里扬诺夫斯克
乌里扬诺夫斯克,NR,PER,FOR,乌里扬诺夫斯克
乌帕德亚雅,NR,PER,FOR,乌帕德亚雅
乌萨马·巴兹,NR,PER,FOR,乌萨马·巴兹
乌沙曼,NR,PER,FOR,乌沙曼
乌斯蒂诺夫,NR,PER,FOR,乌斯蒂诺夫
乌斯霍普奇克,NR,PER,FOR,乌斯霍普奇克
无垢,NR,PER,GIV,无垢
无毛绒,NN,*,*,无毛绒
无棣县,NR,LOC,*,无棣县
吴,NR,PER,GIV,吴
吴桥,NR,LOC,*,吴桥
吴桥县,NR,LOC,*,吴桥县
吴忠市,NR,LOC,*,吴忠市
吴泾,NR,ORG,*,吴泾
吴淞,NR,ORG,*,吴淞
武安磁山,NR,LOC,*,武安磁山
武昌,NR,LOC,*,武昌
武昌鱼,NN,*,*,武昌鱼
武打,NN,*,*,武打
武进县,NR,LOC,*,武进县
武绪,NR,PER,GIV,武绪
五妞,NR,PER,GIV,五妞
伍德,NR,PER,FOR,伍德
伍家沟,NR,LOC,*,伍家沟
悟空,NR,PER,GIV,悟空
熙成,NR,PER,GIV,熙成
熙凡,NR,PER,GIV,熙凡
熙文,NR,PER,GIV,熙文
西奥多·罗斯福,NR,PER,FOR,西奥多·罗斯福
西柏坡,NR,LOC,*,西柏坡
西布森,NR,ORG,*,西布森
西德基,NR,PER,FOR,西德基
西尔万·戈马,NR,PER,FOR,西尔万·戈马
西尔维,NR,PER,FOR,西尔维
西尔维·弗雷切特,NR,PER,FOR,西尔维·弗雷切特
西格雷夫,NR,PER,FOR,西格雷夫
西宫市,NR,LOC,*,西宫市
西光,NR,PER,GIV,西光
西丽玛沃·班达拉奈克,NR,PER,FOR,西丽玛沃·班达拉奈克
西麦昂,NR,PER,FOR,西麦昂
西麦昂诺夫,NR,PER,FOR,西麦昂诺夫
西萨默塞特,NR,PER,FOR,西萨默塞特
西生,NR,PER,GIV,西生
西亚德,NR,PER,FOR,西亚德
西亚德·巴雷,NR,LOC,*,西亚德·巴雷
西亚德·巴雷,NR,PER,FOR,西亚德·巴雷
锡俊,NR,PER,GIV,锡俊
锡联,NR,PER,GIV,锡联
锡满,NR,PER,GIV,锡满
锡明,NR,PER,GIV,锡明
锡铭,NR,PER,GIV,锡铭
锡寿,NR,PER,GIV,锡寿
锡柱,NR,PER,GIV,锡柱
希布内尔,NR,PER,FOR,希布内尔
希尔森—莱曼兄弟,NR,ORG,*,希尔森—莱曼兄弟
希尔坦尼乌斯,NR,PER,FOR,希尔坦尼乌斯
希里夸尔,NR,PER,FOR,希里夸尔
希梅纳斯,NR,PER,FOR,希梅纳斯
希让,NR,PER,GIV,希让
希同,NR,PER,GIV,希同
希仪,NR,PER,GIV,希仪
希玉,NR,PER,GIV,希玉
席德华,NR,PER,FOR,席德华
席思,NR,PER,GIV,席思
喜泪盈眶,VV,*,*,喜泪盈眶
喜气扬扬,VV,*,*,喜气扬扬
喜笑颜开,VV,*,*,喜笑颜开
匣子,NN,*,*,匣子
霞富,NR,PER,GIV,霞富
下野,VV,*,*,下野
夏收,NN,*,*,夏收
夏邑县,NR,LOC,*,夏邑县
夏子街,NR,LOC,*,夏子街
先继,NR,PER,GIV,先继
先念,NR,PER,GIV,先念
先星,NR,PER,GIV,先星
先学,NR,PER,GIV,先学
先云,NR,PER,GIV,先云
先增,NR,PER,GIV,先增
贤春,NR,PER,GIV,贤春
贤能,NR,PER,GIV,贤能
显光,NR,PER,GIV,显光
显宅,NR,PER,GIV,显宅
显忠,NR,PER,GIV,显忠
现飞,NR,PER,GIV,现飞
现国,NR,PER,GIV,现国
宪和,NR,PER,GIV,宪和
宪林,NR,PER,GIV,宪林
宪明,NR,PER,GIV,宪明
宪鑫,NR,PER,GIV,宪鑫
相欣,NR,PER,GIV,相欣
相玉,NR,PER,GIV,相玉
香华,NR,PER,GIV,香华
香兰,NR,PER,GIV,香兰
香莲,NR,PER,GIV,香莲
香林,NR,PER,GIV,香林
香山,NR,PER,GIV,香山
湘,NR,PER,GIV,湘
湘洲,NR,PER,GIV,湘洲
翔贵,NR,PER,GIV,翔贵
祥存,NR,PER,GIV,祥存
祥堆,NR,PER,GIV,祥堆
祥国,NR,PER,GIV,祥国
祥辉,NR,PER,GIV,祥辉
祥惠,NR,PER,GIV,祥惠
祥桥乡,NR,LOC,*,祥桥乡
祥瑞,NR,PER,GIV,祥瑞
祥雄,NR,PER,GIV,祥雄
祥迎,NR,PER,GIV,祥迎
祥麟,NR,PER,GIV,祥麟
向超,NR,PER,GIV,向超
向明,NR,PER,GIV,向明
向前,NR,PER,GIV,向前
向群,NR,PER,GIV,向群
向三,NR,PER,GIV,向三
向阳,NR,PER,GIV,向阳
萧瑟,VA,*,*,萧瑟
销柱,NR,PER,GIV,销柱
晓冰,NR,PER,GIV,晓冰
晓波,NR,PER,GIV,晓波
晓村,NR,PER,GIV,晓村
晓建,NR,PER,GIV,晓建
晓江,NR,PER,GIV,晓江
晓洁,NR,PER,GIV,晓洁
晓陵,NR,PER,GIV,晓陵
晓路,NR,PER,GIV,晓路
晓梦,NR,PER,GIV,晓梦
晓农,NR,PER,GIV,晓农
晓平,NR,PER,GIV,晓平
晓晴,NR,PER,GIV,晓晴
晓群,NR,PER,GIV,晓群
晓涛,NR,PER,GIV,晓涛
晓万,NR,PER,GIV,晓万
晓温,NR,PER,GIV,晓温
晓西,NR,PER,GIV,晓西
晓行,NR,PER,GIV,晓行
晓园,NR,PER,GIV,晓园
小岛,NN,*,*,小岛
小东,NR,PER,GIV,小东
小菲,NR,PER,GIV,小菲
小呼拉尔,NR,ORG,*,小呼拉尔
小健,NR,PER,GIV,小健
小卷,NR,PER,GIV,小卷
小立,NR,PER,GIV,小立
小力,NR,PER,GIV,小力
小林,NR,PER,GIV,小林
小萍,NR,PER,GIV,小萍
小荣,NR,PER,GIV,小荣
小新,NR,PER,GIV,小新
小雄,NR,PER,GIV,小雄
小杨屯,NR,LOC,*,小杨屯
小艺,NR,PER,GIV,小艺
小鹰,NR,PER,GIV,小鹰
孝堂,NR,PER,GIV,孝堂
肖冰,NR,PER,GIV,肖冰
肖胡,NR,ORG,*,肖胡
肖瓦尔,NR,PER,FOR,肖瓦尔
啸,NR,PER,GIV,啸
啸云,NR,PER,GIV,啸云
